Date,Close,High,Low,Open,Volume
2020-06-23,17315.384765625,17838.440090074662,17250.151108380713,17734.0662384838,5922
2020-06-24,17490.54296875,17677.135323364633,17221.685782021905,17401.967892136738,6440
2020-06-25,17592.166015625,17648.67096961774,17272.213431596458,17364.063170192327,3663
2020-06-26,18125.943359375,18253.99036222557,17411.456872979703,17592.213414358594,8269
2020-06-29,18136.236328125,18217.980397272062,17859.31390820077,18125.94164214001,4684
2020-06-30,17833.93359375,18251.191799831406,17769.83781705012,18136.38055949974,4096
2020-07-01,17653.794921875,17986.46250621328,17553.785417015493,17971.280853960725,5815
2020-07-02,17693.359375,17880.140748750433,17648.66876184561,17826.484214532764,12208
2020-07-03,17497.232421875,18018.72175510526,17411.455724390813,17865.007541080668,3354
2020-07-06,17992.771484375,18123.144284561295,17522.42384170089,17678.08395028591,4528
2020-07-07,18324.064453125,18597.5232112975,17731.457430118324,18001.643385955926,6194
2020-07-08,18271.166015625,18596.574490181556,18217.98205069064,18596.574490181556,2261
2020-07-09,18501.642578125,18597.52494675695,18071.90839497431,18361.92392769592,4443
2020-07-10,18506.48046875,18596.57333622803,18313.8150906953,18313.8150906953,2646
2020-07-13,18916.52734375,19071.950246753953,18407.75297447894,18644.96628600573,3557
2020-07-14,19071.33203125,19356.60511402975,18649.70948609092,18967.575305365426,6350
2020-07-15,19333.740234375,19436.262721016057,19013.12233518055,19166.836569051156,4378
2020-07-16,19517.625,19641.261313715582,19120.38908891226,19354.802160914693,18161
2020-07-17,19964.962890625,20020.802530829424,19451.49061052148,19497.984417346626,6102
2020-07-20,20431.23046875,20495.229878165923,19818.745705492773,20020.803260615787,4821
2020-07-21,20404.044921875,20590.114665789646,20163.273419734716,20590.114665789646,6108
2020-07-22,20156.34765625,20495.230977997286,20077.735532149192,20447.788313696365,1685
2020-07-23,20403.095703125,20462.019115789702,20115.687700196693,20156.34568888834,1442
2020-07-24,20392.943359375,20510.317619954832,20139.410508772897,20419.322221380105,1116
2020-07-27,20421.8359375,20478.813460897494,20077.782133750843,20267.504592046334,2427
2020-07-28,20411.919921875,20542.624455644265,20139.41001272352,20211.522858941047,3224
2020-07-29,20401.908203125,20778.934622387726,20020.800974125803,20267.50278707712,12391
2020-07-30,20113.267578125,20779.885136901976,19688.70395391397,20352.901195732757,6369
2020-07-31,19999.927734375,20390.56985522606,19898.68583930363,20211.52199781392,2040
2020-08-03,19848.87109375,20302.374740136387,19831.03191226941,20302.374740136387,2410
2020-08-04,19526.923828125,20019.85305034667,19498.932659586906,19868.985396192205,2605
2020-08-05,19557.099609375,19789.235072936717,19475.212833126094,19789.235072936717,1113
2020-08-06,19389.24609375,19736.146451110275,19319.648082559772,19724.760212773097,1639
2020-08-07,20380.0859375,20542.671560940464,19404.047733082334,19404.047733082334,5212
2020-08-10,21035.36328125,21349.196469349437,20495.22861057546,20503.436561197228,8818
2020-08-11,20639.59765625,21254.311835728167,20589.213921606624,21064.541194337737,2791
2020-08-12,20282.734375,20684.999951574016,20172.90461608281,20684.999951574016,2180
2020-08-13,20769.021484375,20874.770432387508,20420.269748882343,20590.066287994225,4930
2020-08-14,19834.498046875,20210.527505153226,19736.14902974202,19925.91969348954,8567
2020-08-17,19858.736328125,19924.349893176186,19688.702587313066,19834.54057313818,1867
2020-08-18,19719.353515625,20011.266733581386,19641.26215234606,19869.935784168058,2092
2020-08-19,19768.73828125,19877.99909226303,19600.459545520294,19600.459545520294,1431
2020-08-20,19477.298828125,19902.14785196684,19409.218610457436,19725.8983685975,4590
2020-08-21,19559.515625,19705.496307671805,19546.374379861234,19589.072770496852,3270
2020-08-24,19856.984375,20286.48318405854,19560.658606751218,19736.005581456153,5773
2020-08-25,19748.767578125,20189.69893069054,19646.38594445536,20189.69893069054,2072
2020-08-26,19798.9140625,20010.317448783197,19688.704389931772,19925.917695834563,1485
2020-08-27,19925.728515625,20409.88086930711,19798.913912603683,20020.802866619455,6262
2020-08-28,19838.005859375,20131.724112857402,19736.146837568238,19832.92986532939,1766
2020-08-31,19227.98828125,19925.91802261465,19119.392769318343,19838.006399359554,4729
2020-09-01,18938.162109375,19403.052020194635,18900.91961913035,19261.7210692075,2716
2020-09-02,19135.666015625,19304.087465953075,18901.156566395635,18958.08776087273,1013
2020-09-03,18979.10546875,19530.815451520193,18908.273202754273,19195.064098528077,2590
2020-09-04,18644.5390625,18976.11507061727,18597.522645337194,18976.11507061727,3854
2020-09-07,18363.298828125,18730.03059291862,18314.242005347205,18692.40819258573,2449
2020-09-08,18152.224609375,18608.908381673027,18123.09555832933,18407.751509507278,2847
2020-09-09,17845.4140625,18311.91811420963,17584.24221624184,18165.79471975457,2475
2020-09-10,17768.3203125,18256.885217125204,17743.55561354614,17886.832452992425,3035
2020-09-11,17619.255859375,18028.11709219995,17411.456999274666,18028.11709219995,7015
2020-09-14,17954.67578125,18104.120169441143,17577.981037682486,17648.670605430045,12383
2020-09-15,17925.451171875,18215.468554079303,17846.981745144763,17938.071662074635,4032
2020-09-16,18247.87109375,18502.638188811325,17848.87830613999,18028.211568585393,3905
2020-09-17,18030.962890625,18360.30946653394,17790.99754509103,18360.30946653394,7730
2020-09-18,17788.625,18086.944810571098,17481.670996132816,18030.962472926076,8313
2020-09-21,17306.65625,17980.673754828724,17203.231250455097,17790.99762813683,5829
2020-09-22,17220.6875,17552.834283837456,17174.24187996421,17458.89782272605,5023
2020-09-23,17619.255859375,17785.305176806774,17102.36805554095,17411.78872726373,3259
2020-09-24,17428.01171875,17588.178868729436,17132.492152068444,17278.61553440221,3298
2020-09-25,17273.779296875,17702.755490371164,17221.686881612084,17554.734379983754,5482
2020-09-28,17422.69921875,17532.71985581089,17270.076556915148,17458.898337851697,2588
2020-09-29,17458.615234375,17601.228625934997,17174.2446430956,17553.737777218666,3575
2020-09-30,17370.798828125,17483.56966417557,17259.6884852315,17460.74900263958,3818
2020-10-01,17298.44921875,17553.78525963763,17222.68365680218,17506.342596773742,1948
2020-10-05,17461.3203125,17514.882337770345,17298.449279668905,17506.34265842477,1794
2020-10-06,17834.45703125,17877.67618575548,17316.572175259393,17553.785492728697,6108
2020-10-07,17574.896484375,18028.2111084304,17553.78450031381,17886.831979211656,2021
2020-10-08,17930.1953125,18216.0855514821,17553.500554507584,17809.928157397888,3521
2020-10-09,18494.4765625,18550.030802206682,17751.144638004924,18016.823518625053,3257
2020-10-12,18483.091796875,18539.643078179644,18124.188066166087,18494.478035522738,1788
2020-10-13,18162.568359375,18410.647144780825,17935.223499334064,18407.752401178754,3800
2020-10-14,18060.947265625,18388.776064924874,17649.808409321427,18388.776064924874,3914
2020-10-15,17748.205078125,18170.539278383036,17719.739481344244,18170.539278383036,1599
2020-10-16,17739.666015625,17976.024991796643,17555.303086109263,17976.024991796643,4077
2020-10-19,18002.451171875,18028.212909915783,17743.556916601323,17838.442247706145,2341
2020-10-20,18097.90234375,18279.655905634532,17742.367810302814,17980.767163860593,2378
2020-10-21,17982.380859375,18217.981855601258,17840.33827338619,18217.981855601258,2943
2020-10-22,17873.310546875,18162.947986689916,17819.46312767927,17896.131207667135,3288
2020-10-23,17931.6640625,18168.640136983584,17859.362193678815,18168.640136983584,2800
2020-10-26,17651.373046875,18123.09577697217,17577.505197298928,17943.38261364794,895
2020-10-27,17510.13671875,17705.743173961197,17458.898646634876,17577.505295049516,4614
2020-10-28,17542.208984375,17694.214526175096,17411.45627173493,17694.214526175096,1450
2020-10-29,17760.3984375,17895.37281624394,17449.4117757543,17542.210367598873,2682
2020-10-30,17720.166015625,18026.313884686104,17534.80790551633,17743.50743472356,2367
2020-11-02,18231.833984375,18312.77190210963,17458.89855278706,17720.118575142864,6612
2020-11-03,18513.455078125,18673.38317633891,18048.185272575724,18231.834701277807,11186
2020-11-04,18616.263671875,18882.179796904267,18479.914200261323,18513.455792219567,2968
2020-11-05,19180.35546875,19214.276970067527,18644.965059843304,18853.71276025885,4231
2020-11-06,19150.796875,19451.488796851714,18979.95698411416,18979.95698411416,4490
2020-11-09,19382.4140625,19404.42856949143,19129.830072611137,19214.278010533977,2543
2020-11-10,19306.646484375,19641.2599134005,19081.43656321179,19398.353510606754,2904
2020-11-11,19172.099609375,19630.821901991272,18787.291491102867,19451.488665030745,4409
2020-11-12,19665.787109375,19686.804576674564,18969.045373777448,19035.891334935663,5798
2020-11-13,19623.615234375,20115.69019075394,19376.53346157482,19736.14886640009,9982
2020-11-14,19447.6015625,19617.635322429636,19261.72084146782,19356.606165810026,967
2020-11-17,20111.37109375,20135.61503584109,19509.940825384077,19631.77395464644,7637
2020-11-18,20301.947265625,20400.34259536321,19783.63623573118,20109.044680164305,6693
2020-11-19,20284.677734375,20480.85312873713,20123.089150254902,20259.91303709888,3534
2020-11-20,20670.578125,20684.999952482638,20158.623634884487,20210.5733480679,5379
2020-11-23,21188.080078125,21274.23668628754,20318.315312169394,20670.766076926724,9923
2020-11-24,21628.017578125,21723.04559866624,20969.27623074691,21093.955914385828,16440
2020-11-25,20609.802734375,21633.852530126722,20547.415637714657,21633.80434617612,8807
2020-11-26,19850.86328125,20609.803142575445,19783.589218728543,20590.11443867671,6920
2020-11-27,20748.478515625,21013.634802426783,19771.539626564536,20068.150767752642,60948
2020-12-01,20823.01171875,21591.156641957554,20331.88562585474,20758.8232761815,10241
2020-12-02,21273.3828125,21443.512928983364,20823.057463870617,21016.52899793865,13083
2020-12-03,21551.68359375,21633.853913847146,21022.79242610515,21217.307340681407,3356
2020-12-04,21276.087890625,21551.683424489034,21021.843407763565,21551.683424489034,3234
2020-12-07,21699.41796875,21782.442622308605,21178.68845356774,21244.822779168022,3639
2020-12-08,21611.98046875,21823.62290960622,21301.99087940813,21558.892875180998,4175
2020-12-09,21397.11328125,21723.044343182522,21349.196196453515,21723.044343182522,2130
