Date,Close,High,Low,Open,Volume
2020-04-03,8.39240550994873,8.4856548495047,7.874355254987255,8.288795553686404,11755769
2020-04-07,8.205906867980957,8.88973307184576,8.12301815432492,8.88973307184576,4856746
2020-04-08,7.387389659881592,8.630709682983035,7.387389659881592,8.236991067816907,9606597
2020-04-09,7.149085521697998,7.66713526582826,6.682840751980762,6.9315045344333255,17747562
2020-04-13,7.231974124908447,7.325222515113408,6.993670472907653,7.294139718378421,4041328
2020-04-15,7.3148627281188965,7.501359517601021,7.076559064525736,7.345945526365917,5839349
2020-04-16,7.428832530975342,7.563525756465167,7.23197418514757,7.4391936211899194,8522386
2020-04-17,7.563525676727295,7.66713563048109,7.387389039535746,7.542803496516603,8113680
2020-04-20,7.397749900817871,7.6878575914696,7.3355838317782585,7.584247634286862,4304948
2020-04-21,7.263056755065918,7.553164430104985,7.1698083669996,7.553164430104985,8288337
2020-04-22,7.698218822479248,7.781107073928801,7.180169027106508,7.180169027106508,18244724
2020-04-23,8.060853004455566,8.205907313937132,7.470276097708669,7.470276097708669,19063109
2020-04-24,8.858649253845215,8.858649253845215,7.770745674142927,7.770745674142927,22494053
2020-04-27,9.739336013793945,9.739336013793945,9.324896143109106,9.718613830799745,26203467
2020-04-28,9.521754264831543,10.226302784450205,9.25236873483601,10.226302784450205,16609016
2020-04-29,9.148757934570312,9.677168328739711,9.107314520747043,9.594280553793487,2031097
2020-04-30,9.2420072555542,9.573559301996879,8.931176442333197,9.31453441372911,9413691
2020-05-04,8.827566146850586,9.014064817056287,8.786122734704598,9.014064817056287,1164771
2020-05-05,8.775762557983398,9.045148065971906,8.516737666725335,8.951899673498819,927064
2020-05-06,9.21092414855957,9.21092414855957,8.537458514419585,8.59962410659268,5515526
2020-05-07,9.666808128356934,9.666808128356934,9.242007671403531,9.314534832841844,5717761
2020-05-08,10.143413543701172,10.143413543701172,9.884388644329857,10.070886382417259,5557326
2020-05-11,10.640742301940918,10.640742301940918,9.749696063511278,10.464604230403946,7667124
2020-05-12,11.169151306152344,11.169151306152344,10.702906538127266,10.879043639952219,8854338
2020-05-13,11.169151306152344,11.70792228025274,11.003375767552164,11.70792228025274,2666149
2020-05-14,11.055180549621582,11.293484205174076,10.65110229144499,11.08626334681983,2026735
2020-05-15,10.79615592956543,11.14843016604766,10.547492598489479,11.075903953212825,1448251
2020-05-18,10.257384300231934,10.982653016899162,10.257384300231934,10.79615529276761,2210097
2020-05-19,10.205580711364746,10.464604679259498,10.16413729331349,10.42316220850802,474890
2020-05-20,10.350634574890137,10.671825076291933,9.946555346533275,10.298828646893353,1743954
2020-05-21,10.267745018005371,10.454243691280062,10.195218808731502,10.360993407343056,972953
2020-05-22,10.081246376037598,10.464602409537601,9.998358610613261,10.464602409537601,4184573
2020-05-26,9.863667488098145,10.360994162058029,9.760057527531568,10.153775188224607,577409
2020-05-27,9.97763729095459,10.153774399699195,9.532114684576817,9.946554494658402,1162772
